name,extension
C,.c
C,.cats
C,.h
C,.idc
C,.w
C#,.cs
C#,.cake
C#,.cshtml
C#,.csx
C++,.cpp
C++,.c++
C++,.cc
C++,.cp
C++,.cxx
C++,.h
C++,.h++
C++,.hh
C++,.hpp
C++,.hxx
C++,.inc
C++,.inl
C++,.ipp
C++,.tcc
C++,.tpp
Clojure,.clj
Clojure,.boot
Clojure,.cl2
Clojure,.cljc
Clojure,.cljs
Clojure,.cljs.hl
Clojure,.cljscm
Clojure,.cljx
Clojure,.hic
Cuda,.cu
Cuda,.cuh
Elixir,.ex
Elixir,.exs
Erlang,.erl
Erlang,.es
Erlang,.escript
Erlang,.hrl
Erlang,.xrl
Erlang,.yrl
F#,.fs
F#,.fsi
F#,.fsx
Go,.go
Haskell,.hs
Haskell,.hsc
Java,.java
JavaScript,.js
JavaScript,._js
JavaScript,.bones
JavaScript,.es
JavaScript,.es6
JavaScript,.frag
JavaScript,.gs
JavaScript,.jake
JavaScript,.jsb
JavaScript,.jscad
JavaScript,.jsfl
JavaScript,.jsm
JavaScript,.jss
JavaScript,.njs
JavaScript,.pac
JavaScript,.sjs
JavaScript,.ssjs
JavaScript,.sublime-build
JavaScript,.sublime-commands
JavaScript,.sublime-completions
JavaScript,.sublime-keymap
JavaScript,.sublime-macro
JavaScript,.sublime-menu
JavaScript,.sublime-mousemap
JavaScript,.sublime-project
JavaScript,.sublime-settings
JavaScript,.sublime-theme
JavaScript,.sublime-workspace
JavaScript,.sublime_metrics
JavaScript,.sublime_session
JavaScript,.xsjs
JavaScript,.xsjslib
Julia,.jl
Kotlin,.kt
Kotlin,.ktm
Kotlin,.kts
OCaml,.ml
OCaml,.eliom
OCaml,.eliomi
OCaml,.ml4
OCaml,.mli
OCaml,.mll
OCaml,.mly
Objective-C,.m
Objective-C,.h
PHP,.php
PHP,.aw
PHP,.ctp
PHP,.fcgi
PHP,.inc
PHP,.php3
PHP,.php4
PHP,.php5
PHP,.phps
PHP,.phpt
Perl,.pl
Perl,.al
Perl,.cgi
Perl,.fcgi
Perl,.perl
Perl,.ph
Perl,.plx
Perl,.pm
Perl,.pod
Perl,.psgi
Perl,.t
Python,.py
Python,.bzl
Python,.cgi
Python,.fcgi
Python,.gyp
Python,.lmi
Python,.pyde
Python,.pyp
Python,.pyt
Python,.pyw
Python,.rpy
Python,.tac
Python,.wsgi
Python,.xpy
R,.r
R,.rd
R,.rsx
Ruby,.rb
Ruby,.builder
Ruby,.fcgi
Ruby,.gemspec
Ruby,.god
Ruby,.irbrc
Ruby,.jbuilder
Ruby,.mspec
Ruby,.pluginspec
Ruby,.podspec
Ruby,.rabl
Ruby,.rake
Ruby,.rbuild
Ruby,.rbw
Ruby,.rbx
Ruby,.ru
Ruby,.ruby
Ruby,.thor
Ruby,.watchr
Rust,.rs
Rust,.rs.in
TypeScript,.ts
TypeScript,.tsx
VHDL,.vhdl
VHDL,.vhd
VHDL,.vhf
VHDL,.vhi
VHDL,.vho
VHDL,.vhs
VHDL,.vht
VHDL,.vhw
